bird_id,stopover_id,lat,lon,date_first,date_last,duration_days,n_fixes,mean_nsd_km,shared_with,n_birds_total
10057_KB,10057_KB_stop1,21.5108,-78.4308,2001-08-26,2001-08-26,1,6,2331.9,20226_FZ;20228_8-5;29850_EY,4
10057_KB,10057_KB_stop2,20.7362,-76.7504,2001-08-27,2001-09-02,6,20,2370.7,29843_DG,2
20218_X2,20218_X2_stop0,22.3826,-105.6249,1997-09-16,1997-10-10,24,18,3031.4,,1
20219_AB,20219_AB_stop0,-5.5199,-74.3107,1996-11-10,1996-11-30,20,9,6125.3,,1
20219_CZ,20219_CZ_stop0,17.77,-93.095,1998-09-28,1998-10-13,16,4,3977.8,,1
20220_X1,20220_X1_stop0,21.4578,-97.4586,1998-09-22,1998-10-14,23,14,3519.4,,1
20220_Y0,20220_Y0_stop0,39.1497,-94.728,1997-08-05,1997-08-21,17,9,816.7,,1
20222_AW,20222_AW_stop0,10.8839,-74.6041,1998-09-01,1998-10-14,44,32,3182.0,20222_HS;25659_P3;29842_FX,4
20222_HS,20222_HS_stop0,11.0179,-74.8423,2000-10-06,2000-10-21,16,44,2538.9,20222_AW;25659_P3;29842_FX,4
20222_HS,20222_HS_stop1,5.4643,-53.0648,2000-11-17,2000-12-27,40,133,4117.6,,1
20223_AK,20223_AK_stop0,13.0668,-87.2718,1997-10-03,1997-10-20,18,6,3827.7,25664_HW,2
20224_AR,20224_AR_stop0,18.3533,-101.8825,1998-09-22,1998-10-01,10,4,3566.2,,1
20225_AT,20225_AT_stop0,18.6099,-95.5391,1998-09-23,1998-10-13,21,16,3863.2,,1
20226_B4,20226_B4_stop0,17.872,-91.8378,1997-10-15,1997-11-02,19,11,3020.3,21018_O18;29848_B4,3
20226_FZ,20226_FZ_stop0,21.3167,-78.0348,2000-09-13,2000-09-15,3,6,1473.6,10057_KB;20228_8-5;29850_EY;29854_HU,5
20226_FZ,20226_FZ_stop1,18.7264,-69.3375,2000-10-04,2000-10-27,23,60,2075.4,,1
20226_FZ,20226_FZ_stop2,8.7913,-68.8336,2000-11-06,2000-11-13,7,22,3093.7,,1
20226_FZ,20226_FZ_stop3,1.6977,-50.0801,2000-12-04,2000-12-28,24,75,4831.4,,1
